Wavelength	n	k
1.823000	1.058000	12.510000
1.879000	1.121000	12.890000
1.937000	1.190000	13.290000
2.000000	1.265000	13.720000
2.066000	1.348000	14.170000
2.138000	1.439000	14.650000
2.214000	1.541000	15.170000
2.296000	1.653000	15.720000
2.384000	1.778000	16.310000
2.480000	1.917000	16.950000
