# Wavelength(nm) T fR bR
1415 0.2070 0.7382 0.7080
1420 0.2055 0.7396 0.7080
1425 0.2041 0.7411 0.7094
1430 0.2030 0.7425 0.7122
1435 0.2015 0.7439 0.7122
1440 0.2006 0.7452 0.7164
1445 0.1993 0.7466 0.7177
1450 0.1982 0.7480 0.7205
1455 0.1969 0.7493 0.7219
1460 0.1957 0.7506 0.7232
1465 0.1946 0.7520 0.7259
1470 0.1932 0.7533 0.7258
1475 0.1920 0.7546 0.7271
1480 0.1910 0.7558 0.7298
1485 0.1897 0.7571 0.7311
1490 0.1886 0.7584 0.7323
1495 0.1874 0.7596 0.7336
1500 0.1864 0.7609 0.7363
1505 0.1852 0.7621 0.7375
1510 0.1841 0.7633 0.7387
1515 0.1829 0.7645 0.7399
1520 0.1818 0.7657 0.7411
1525 0.1807 0.7669 0.7423
1530 0.1796 0.7680 0.7435
1535 0.1787 0.7692 0.7461
1540 0.1774 0.7704 0.7458
1545 0.1763 0.7715 0.7469
1550 0.1751 0.7726 0.7465
1555 0.1740 0.7737 0.7477
1560 0.1730 0.7749 0.7488
1565 0.1721 0.7760 0.7514
1570 0.1709 0.7770 0.7509
1575 0.1700 0.7781 0.7535
1580 0.1690 0.7792 0.7546
1585 0.1678 0.7803 0.7542
1590 0.1668 0.7813 0.7552
1595 0.1657 0.7824 0.7547
1600 0.1649 0.7834 0.7573
1605 0.1637 0.7844 0.7568
1610 0.1626 0.7854 0.7563
1615 0.1613 0.7864 0.7543
1620 0.1602 0.7874 0.7537
1625 0.1591 0.7884 0.7532
1630 0.1581 0.7894 0.7527
1635 0.1567 0.7904 0.7491
1640 0.1551 0.7914 0.7440
1645 0.1531 0.7923 0.7344
1650 0.1504 0.7933 0.7174
1655 0.1475 0.7942 0.6991
1660 0.1444 0.7951 0.6781
1665 0.1425 0.7961 0.6689
1670 0.1423 0.7970 0.6754
1675 0.1430 0.7979 0.6907
1680 0.1437 0.7988 0.7062
1685 0.1439 0.7997 0.7174
1690 0.1438 0.8006 0.7257
1695 0.1438 0.8015 0.7341
1700 0.1434 0.8023 0.7394
1705 0.1426 0.8032 0.7403
1710 0.1418 0.8041 0.7411
1715 0.1412 0.8049 0.7434
1720 0.1407 0.8058 0.7473
1725 0.1401 0.8066 0.7496
1730 0.1394 0.8074 0.7519
1735 0.1387 0.8083 0.7527
1740 0.1380 0.8091 0.7550
1745 0.1376 0.8099 0.7589
1750 0.1370 0.8107 0.7612
1755 0.1365 0.8115 0.7651
1760 0.1359 0.8123 0.7674
1765 0.1352 0.8131 0.7682
1770 0.1344 0.8139 0.7690
1775 0.1340 0.8146 0.7728
1780 0.1333 0.8154 0.7736
1785 0.1325 0.8162 0.7743
1790 0.1318 0.8169 0.7751
1795 0.1309 0.8177 0.7727
1800 0.1303 0.8184 0.7750
1805 0.1279 0.8192 0.7554
1810 0.1293 0.8199 0.7811
1815 0.1277 0.8206 0.7709
1820 0.1268 0.8213 0.7684
1825 0.1275 0.8221 0.7864
1830 0.1250 0.8228 0.7636
1835 0.1260 0.8235 0.7847
1840 0.1257 0.8242 0.7901
1845 0.1229 0.8249 0.7640
1850 0.1253 0.8255 0.8026
1855 0.1232 0.8262 0.7858
1860 0.1210 0.8269 0.7660
1865 0.1233 0.8276 0.8047
1870 0.1203 0.8283 0.7735
1875 0.1195 0.8289 0.7726
1880 0.1217 0.8296 0.8099
1885 0.1176 0.8302 0.7644
1890 0.1177 0.8309 0.7745
1895 0.1196 0.8315 0.8086
1900 0.1152 0.8322 0.7584
1905 0.1159 0.8328 0.7763
1910 0.1173 0.8334 0.8041
1915 0.1129 0.8340 0.7524
1920 0.1144 0.8347 0.7813
1925 0.1157 0.8353 0.8076
1930 0.1110 0.8359 0.7510
1935 0.1132 0.8365 0.7895
1940 0.1146 0.8371 0.8175
1945 0.1090 0.8377 0.7480
1950 0.1109 0.8383 0.7832
1955 0.1125 0.8389 0.8144
1960 0.1073 0.8394 0.7481
1965 0.1095 0.8400 0.7881
1970 0.1126 0.8406 0.8408
1975 0.1067 0.8412 0.7638
1980 0.1073 0.8417 0.7802
1985 0.1116 0.8423 0.8525
1990 0.1061 0.8429 0.7797
1995 0.1042 0.8434 0.7596
2000 0.1100 0.8440 0.8543
2005 0.1064 0.8445 0.8087
2010 0.1018 0.8451 0.7470
2015 0.1074 0.8456 0.8410
2020 0.1069 0.8461 0.8415
2025 0.1003 0.8467 0.7485
2030 0.1035 0.8472 0.8048
2035 0.1067 0.8477 0.8632
2040 0.0998 0.8482 0.7641
2045 0.0988 0.8488 0.7567
2050 0.1045 0.8493 0.8548
2055 0.1010 0.8498 0.8057
2060 0.0959 0.8503 0.7345
2065 0.1008 0.8508 0.8182
2070 0.1017 0.8513 0.8418
2075 0.0947 0.8518 0.7374
2080 0.0951 0.8523 0.7504
2085 0.1003 0.8528 0.8433
2090 0.0965 0.8532 0.7880
2095 0.0922 0.8537 0.7267
