wl	n	k
886.6000000	2.0495577	0.0185969
891.6000000	2.0486320	0.0180994
896.6000000	2.0477159	0.0176153
901.6000000	2.0468094	0.0171442
906.6000000	2.0459122	0.0166858
911.6000000	2.0450243	0.0162396
916.6000000	2.0441456	0.0158054
921.6000000	2.0432761	0.0153828
926.6000000	2.0424156	0.0149716
931.6000000	2.0415639	0.0145714
936.6000000	2.0407211	0.0141819
941.6000000	2.0398871	0.0138029
946.6000000	2.0390617	0.0134341
951.6000000	2.0382449	0.0130751
956.6000000	2.0374365	0.0127258
961.6000000	2.0366365	0.0123859
966.6000000	2.0358448	0.0120550
971.6000000	2.0350613	0.0117331
976.6000000	2.0342859	0.0114197
981.6000000	2.0335186	0.0111148
986.6000000	2.0327592	0.0108181
991.6000000	2.0320078	0.0105293
996.6000000	2.0312640	0.0102482
1001.6000000	2.0305281	0.0099747
1006.6000000	2.0297997	0.0097086
1011.6000000	2.0290789	0.0094496
1016.6000000	2.0283655	0.0091975
1021.6000000	2.0276596	0.0089522
1026.6000000	2.0269610	0.0087134
1031.6000000	2.0262696	0.0084811
1036.6000000	2.0255854	0.0082550
1041.6000000	2.0249083	0.0080350
1046.6000000	2.0242382	0.0078208
1051.6000000	2.0235750	0.0076124
1056.6000000	2.0229188	0.0074096
1061.6000000	2.0222693	0.0072123
1066.6000000	2.0216266	0.0070202
1071.6000000	2.0209905	0.0068333
1076.6000000	2.0203610	0.0066514
1081.6000000	2.0197381	0.0064744
1086.6000000	2.0191216	0.0063021
1091.6000000	2.0185115	0.0061344
1096.6000000	2.0179077	0.0059713
1101.6000000	2.0173102	0.0058125
1106.6000000	2.0167189	0.0056580
1111.6000000	2.0161337	0.0055076
1116.6000000	2.0155546	0.0053613
1121.6000000	2.0149815	0.0052188
1126.6000000	2.0144143	0.0050803
1131.6000000	2.0138530	0.0049454
1136.6000000	2.0132976	0.0048141
1141.6000000	2.0127479	0.0046864
1146.6000000	2.0122039	0.0045621
1151.6000000	2.0116655	0.0044411
1156.6000000	2.0111327	0.0043233
1161.6000000	2.0106054	0.0042088
1166.6000000	2.0100836	0.0040973
1171.6000000	2.0095673	0.0039887
1176.6000000	2.0090562	0.0038831
1181.6000000	2.0085505	0.0037804
1186.6000000	2.0080500	0.0036804
1191.6000000	2.0075547	0.0035830
1196.6000000	2.0070645	0.0034883
1201.6000000	2.0065795	0.0033961
1206.6000000	2.0060994	0.0033064
1211.6000000	2.0056243	0.0032191
1216.6000000	2.0051542	0.0031342
1221.6000000	2.0046889	0.0030515
1226.6000000	2.0042285	0.0029710
1231.6000000	2.0037728	0.0028927
1236.6000000	2.0033218	0.0028165
1241.6000000	2.0028755	0.0027423
1246.6000000	2.0024339	0.0026702
1251.6000000	2.0019968	0.0025999
1256.6000000	2.0015643	0.0025316
1261.6000000	2.0011362	0.0024651
1266.6000000	2.0007126	0.0024003
1271.6000000	2.0002934	0.0023373
1276.6000000	1.9998785	0.0022760
1281.6000000	1.9994679	0.0022164
1286.6000000	1.9990616	0.0021583
1291.6000000	1.9986595	0.0021018
1296.6000000	1.9982616	0.0020468
1301.6000000	1.9978678	0.0019933
1306.6000000	1.9974780	0.0019412
1311.6000000	1.9970924	0.0018905
1316.6000000	1.9967107	0.0018412
1321.6000000	1.9963329	0.0017932
1326.6000000	1.9959591	0.0017465
1331.6000000	1.9955892	0.0017010
1336.6000000	1.9952231	0.0016568
1341.6000000	1.9948608	0.0016137
1346.6000000	1.9945022	0.0015718
1351.6000000	1.9941474	0.0015311
1356.6000000	1.9937963	0.0014914
1361.6000000	1.9934487	0.0014528
1366.6000000	1.9931048	0.0014152
1371.6000000	1.9927645	0.0013786
1376.6000000	1.9924277	0.0013430
1381.6000000	1.9920944	0.0013084
1386.6000000	1.9917645	0.0012747
1391.6000000	1.9914380	0.0012419
1396.6000000	1.9911150	0.0012099
1401.6000000	1.9907953	0.0011789
1406.6000000	1.9904789	0.0011486
1411.6000000	1.9901658	0.0011192
1416.6000000	1.9898559	0.0010906
1421.6000000	1.9895492	0.0010627
1426.6000000	1.9892458	0.0010356
1431.6000000	1.9889454	0.0010092
1436.6000000	1.9886482	0.0009835
1441.6000000	1.9883541	0.0009585
1446.6000000	1.9880630	0.0009342
1451.6000000	1.9877749	0.0009105
1456.6000000	1.9874899	0.0008875
1461.6000000	1.9872077	0.0008651
1466.6000000	1.9869285	0.0008433
1471.6000000	1.9866522	0.0008220
1476.6000000	1.9863788	0.0008014
1481.6000000	1.9861082	0.0007812
1486.6000000	1.9858404	0.0007617
1491.6000000	1.9855754	0.0007426
1496.6000000	1.9853131	0.0007241
1501.6000000	1.9850535	0.0007061
1506.6000000	1.9847967	0.0006885
1511.6000000	1.9845425	0.0006714
1516.6000000	1.9842909	0.0006548
1521.6000000	1.9840419	0.0006386
1526.6000000	1.9837956	0.0006229
1531.6000000	1.9835518	0.0006076
1536.6000000	1.9833105	0.0005927
1541.6000000	1.9830717	0.0005781
1546.6000000	1.9828354	0.0005640
1551.6000000	1.9826015	0.0005503
1556.6000000	1.9823701	0.0005369
1561.6000000	1.9821410	0.0005239
1566.6000000	1.9819143	0.0005112
1571.6000000	1.9816900	0.0004989
1576.6000000	1.9814680	0.0004869
1581.6000000	1.9812484	0.0004752
1586.6000000	1.9810309	0.0004639
1591.6000000	1.9808158	0.0004528
1596.6000000	1.9806029	0.0004420
1601.6000000	1.9803922	0.0004316
1606.6000000	1.9801836	0.0004214
1611.6000000	1.9799772	0.0004115
1616.6000000	1.9797730	0.0004018
1621.6000000	1.9795709	0.0003924
1626.6000000	1.9793709	0.0003833
1631.6000000	1.9791729	0.0003744
1636.6000000	1.9789771	0.0003657
1641.6000000	1.9787832	0.0003573
1646.6000000	1.9785913	0.0003491
1651.6000000	1.9784015	0.0003411
1656.6000000	1.9782136	0.0003334
1661.6000000	1.9780276	0.0003258
1666.6000000	1.9778436	0.0003185
1671.6000000	1.9776615	0.0003113
1676.6000000	1.9774813	0.0003043
1681.6000000	1.9773030	0.0002976
1686.6000000	1.9771265	0.0002910
1691.6000000	1.9769518	0.0002845
1696.6000000	1.9767789	0.0002783
1701.6000000	1.9766078	0.0002722
1706.6000000	1.9764386	0.0002663
1711.6000000	1.9762710	0.0002605
1716.6000000	1.9761052	0.0002549
1721.6000000	1.9759411	0.0002495
1726.6000000	1.9757787	0.0002442
1731.6000000	1.9756180	0.0002390
1736.6000000	1.9754590	0.0002340
1741.6000000	1.9753016	0.0002291
