# Wavelength(nm) T fR bR
1910 0.0062 0.9573 0.9180
1915 0.0062 0.9574 0.9163
1920 0.0061 0.9575 0.9146
1925 0.0061 0.9576 0.9147
1930 0.0060 0.9577 0.9185
1935 0.0060 0.9578 0.9168
1940 0.0060 0.9580 0.9206
1945 0.0059 0.9581 0.9207
1950 0.0059 0.9582 0.9171
1955 0.0058 0.9583 0.9191
1960 0.0058 0.9584 0.9192
1965 0.0058 0.9585 0.9193
1970 0.0057 0.9586 0.9213
1975 0.0057 0.9587 0.9251
1980 0.0057 0.9588 0.9270
1985 0.0056 0.9589 0.9253
1990 0.0056 0.9589 0.9217
1995 0.0055 0.9590 0.9181
2000 0.0055 0.9591 0.9182
2005 0.0055 0.9592 0.9202
2010 0.0054 0.9593 0.9184
2015 0.0054 0.9594 0.9204
2020 0.0054 0.9595 0.9223
2025 0.0053 0.9596 0.9243
2030 0.0053 0.9597 0.9244
2035 0.0053 0.9598 0.9263
2040 0.0052 0.9598 0.9264
2045 0.0052 0.9599 0.9191
2050 0.0051 0.9600 0.9137
2055 0.0051 0.9601 0.9193
2060 0.0051 0.9602 0.9212
2065 0.0050 0.9603 0.9158
2070 0.0050 0.9604 0.9177
2075 0.0050 0.9604 0.9215
2080 0.0050 0.9605 0.9216
2085 0.0049 0.9606 0.9217
2090 0.0049 0.9607 0.9255
2095 0.0049 0.9607 0.9237
2100 0.0048 0.9608 0.9183
2105 0.0048 0.9609 0.9128
2110 0.0048 0.9610 0.9148
2115 0.0047 0.9611 0.9149
2120 0.0047 0.9611 0.9168
2125 0.0047 0.9612 0.9187
2130 0.0047 0.9613 0.9169
2135 0.0046 0.9613 0.9133
2140 0.0046 0.9614 0.9079
2145 0.0045 0.9615 0.9062
2150 0.0045 0.9616 0.9081
2155 0.0045 0.9616 0.9082
2160 0.0045 0.9617 0.9064
2165 0.0044 0.9618 0.9028
2170 0.0044 0.9618 0.9029
2175 0.0044 0.9619 0.9012
2180 0.0043 0.9620 0.8958
2185 0.0043 0.9620 0.8940
2190 0.0043 0.9621 0.8905
2195 0.0042 0.9622 0.8906
2200 0.0042 0.9622 0.8888
2205 0.0042 0.9623 0.8871
2210 0.0042 0.9624 0.8853
2215 0.0041 0.9624 0.8782
2220 0.0041 0.9625 0.8801
2225 0.0041 0.9626 0.8837
2230 0.0041 0.9626 0.8874
2235 0.0041 0.9627 0.8893
2240 0.0040 0.9627 0.8857
2245 0.0040 0.9628 0.8858
2250 0.0040 0.9629 0.8895
2255 0.0040 0.9629 0.8914
