{ Units, Wavelength Units } SI Nanometers
{ Thickness } 1.000
{ Conductivity } 1.000
{ Emissivity, front back } Emis= 0.025 0.840
{ Type: Coated }
{ Coated Side: Front }

1875 0.119 0.795 0.795
1880 0.118 0.795 0.795
1885 0.118 0.796 0.796
1890 0.117 0.796 0.796
1895 0.116 0.797 0.797
1900 0.116 0.798 0.798
1905 0.115 0.798 0.798
1910 0.114 0.799 0.799
1915 0.114 0.799 0.799
1920 0.113 0.8 0.8
1925 0.113 0.8 0.8
1930 0.112 0.801 0.801
1935 0.112 0.801 0.801
1940 0.111 0.802 0.802
1945 0.11 0.803 0.803
1950 0.11 0.803 0.803
1955 0.109 0.804 0.804
1960 0.109 0.804 0.804
1965 0.108 0.805 0.805
1970 0.108 0.805 0.805
1975 0.107 0.805 0.805
1980 0.107 0.806 0.806
1985 0.106 0.807 0.807
1990 0.106 0.808 0.808
1995 0.105 0.808 0.808
2000 0.109 0.808 0.808
2005 0.108 0.809 0.809
2010 0.108 0.81 0.81
2015 0.107 0.811 0.811
2020 0.106 0.812 0.812
2025 0.106 0.812 0.812
2030 0.106 0.812 0.812
2035 0.105 0.813 0.813
2040 0.105 0.813 0.813
2045 0.104 0.813 0.813
2050 0.104 0.814 0.814
2055 0.104 0.814 0.814
2060 0.103 0.815 0.815
2065 0.102 0.815 0.815
2070 0.102 0.816 0.816
2075 0.101 0.817 0.817
2080 0.101 0.816 0.816
2085 0.1 0.817 0.817
2090 0.0999 0.818 0.818
2095 0.0988 0.819 0.819
2100 0.0985 0.818 0.818
2105 0.0981 0.818 0.818
2110 0.0978 0.819 0.819
2115 0.0978 0.818 0.818
2120 0.097 0.818 0.818
2125 0.0962 0.818 0.818
2130 0.0955 0.82 0.82
2135 0.0949 0.82 0.82
2140 0.0948 0.821 0.821
2145 0.0945 0.821 0.821
2150 0.0938 0.821 0.821
2155 0.0931 0.821 0.821
2160 0.0926 0.822 0.822
2165 0.092 0.823 0.823
2170 0.0916 0.824 0.824
2175 0.0912 0.823 0.823
2180 0.0904 0.823 0.823
2185 0.0897 0.824 0.824
2190 0.0894 0.825 0.825
2195 0.0887 0.822 0.822
2200 0.0882 0.826 0.826
2205 0.0878 0.827 0.827
2210 0.0874 0.826 0.826
2215 0.0869 0.826 0.826
2220 0.0863 0.827 0.827
2225 0.086 0.828 0.828
2230 0.0859 0.828 0.828
2235 0.0856 0.828 0.828
2240 0.0852 0.828 0.828
2245 0.0847 0.828 0.828
2250 0.0845 0.829 0.829
2255 0.0845 0.828 0.828
2260 0.0845 0.83 0.83
2265 0.0841 0.829 0.829
2270 0.0829 0.827 0.827
2275 0.0827 0.828 0.828
2280 0.0828 0.831 0.831
2285 0.0826 0.833 0.833
2290 0.0818 0.835 0.835
2295 0.0816 0.834 0.834
2300 0.0817 0.837 0.837
2305 0.0812 0.832 0.832
2310 0.0808 0.835 0.835
2315 0.0799 0.836 0.836
2320 0.0804 0.835 0.835
2325 0.0801 0.833 0.833
2330 0.0796 0.838 0.838
2335 0.0784 0.833 0.833
2340 0.0787 0.837 0.837
2345 0.0786 0.832 0.832
2350 0.0784 0.836 0.836
2355 0.0779 0.836 0.836
2360 0.0766 0.839 0.839
2365 0.0768 0.837 0.837
2370 0.0766 0.837 0.837
2375 0.0764 0.835 0.835
2380 0.0759 0.839 0.839
2385 0.0755 0.835 0.835
2390 0.0758 0.835 0.835
2395 0.0752 0.842 0.842
2400 0.0736 0.835 0.835
2405 0.0736 0.835 0.835
2410 0.0737 0.841 0.841
2415 0.0731 0.835 0.835
2420 0.0735 0.838 0.838
2425 0.0722 0.834 0.834
2430 0.0714 0.842 0.842
2435 0.0711 0.836 0.836
2440 0.0707 0.837 0.837
2445 0.0714 0.842 0.842
2450 0.0711 0.836 0.836
2455 0.07 0.848 0.848
2460 0.0694 0.843 0.843
2465 0.0688 0.838 0.838
2470 0.0699 0.849 0.849
2475 0.0685 0.841 0.841
2480 0.0682 0.843 0.843
2485 0.0679 0.843 0.843
2490 0.0679 0.844 0.844
2495 0.0675 0.846 0.846
2500 0.0665 0.849 0.849
