SCC Single Stack - Ag 11nm - AlN 43nm					
	Transmittance	Reflectance	AM 1.5		42
1145	24.190764	68.356091	9.82E+00	1.40E-01	
1150	23.969511	68.560181	8.18E+00	1.16E-01	
1155	23.747892	68.789464	2.10E+01	2.99E-01	
1160	23.541432	68.986387	1.92E+01	2.74E-01	
1165	23.337307	69.219011	2.60E+01	3.71E-01	
1170	23.139132	69.415461	3.07E+01	4.37E-01	
1175	22.935399	69.631088	3.03E+01	4.31E-01	
1180	22.737256	69.814503	2.95E+01	4.21E-01	
1185	22.554991	70.042702	2.73E+01	3.89E-01	
1190	22.353651	70.300721	3.10E+01	4.41E-01	
1195	22.147257	70.508754	3.00E+01	4.27E-01	
1200	21.954804	70.707304	3.01E+01	4.28E-01	
1205	21.779006	70.912427	2.93E+01	4.17E-01	
1210	21.59646	71.095195	3.04E+01	4.33E-01	
1215	21.420704	71.292575	2.87E+01	4.09E-01	
1220	21.246513	71.458312	3.07E+01	4.37E-01	
1225	21.072144	71.613522	3.10E+01	4.41E-01	
1230	20.899426	71.808381	3.09E+01	4.39E-01	
1235	20.726353	72.009191	3.12E+01	4.44E-01	
1240	20.54437	72.188224	3.09E+01	4.40E-01	
1245	20.362618	72.371615	3.06E+01	4.36E-01	
1250	20.191288	72.544644	3.07E+01	4.37E-01	
1255	20.033059	72.709679	3.03E+01	4.31E-01	
1260	19.8854	72.858521	2.90E+01	4.12E-01	
1265	19.734855	73.011176	2.66E+01	3.79E-01	
1270	19.568031	73.189482	2.60E+01	3.71E-01	
1275	19.407485	73.336274	2.77E+01	3.95E-01	
1280	19.261965	73.486409	2.84E+01	4.04E-01	
1285	19.096067	73.676891	2.85E+01	4.06E-01	
1290	18.936961	73.808667	2.78E+01	3.95E-01	
1295	18.78901	73.978328	2.73E+01	3.88E-01	
1300	18.64562	74.086947	2.38E+01	3.39E-01	
1305	18.504778	74.231766	2.58E+01	3.68E-01	
1310	18.371165	74.358219	2.03E+01	2.89E-01	
1315	18.222929	74.50782	1.93E+01	2.74E-01	
1320	18.078787	74.67898	1.75E+01	2.49E-01	
1325	17.936293	74.791133	2.17E+01	3.09E-01	
1330	17.786412	74.925535	1.55E+01	2.21E-01	
1335	17.645353	75.098818	1.56E+01	2.22E-01	
1340	17.518405	75.225104	1.14E+01	1.62E-01	
1345	17.395873	75.349793	7.39E+00	1.05E-01	
1350	17.266338	75.470268	1.09E+00	1.55E-02	
1355	17.144286	75.544922	2.45E-04	3.48E-06	
1360	17.014898	75.665988	1.45E-04	2.07E-06	
1365	16.860602	75.739173	6.17E-10	8.78E-12	
1370	16.715467	75.913121	1.99E-05	2.83E-07	
1375	16.585118	76.050718	2.20E-02	3.13E-04	
1380	16.449832	76.137668	5.55E-03	7.90E-05	
1385	16.315923	76.278677	1.42E-04	2.03E-06	
1390	16.182598	76.395648	3.36E-02	4.78E-04	
1395	16.047446	76.557819	4.57E-05	6.51E-07	
1400	15.92948	76.663178	2.21E-07	3.15E-09	
1405	15.815392	76.797311	2.49E-05	3.54E-07	
1410	15.694681	76.876929	3.18E-02	4.53E-04	
1415	15.580981	76.992174	1.25E-02	1.79E-04	
1420	15.473955	77.134367	5.65E-01	8.04E-03	
1425	15.358292	77.243199	1.77E+00	2.51E-02	
1430	15.248902	77.347565	4.21E+00	5.99E-02	
1435	15.152423	77.435206	1.46E+00	2.08E-02	
1440	15.046063	77.551511	2.71E+00	3.85E-02	
1445	14.944809	77.654799	3.40E+00	4.84E-02	
1450	14.84183	77.75666	1.88E+00	2.67E-02	
1455	14.740227	77.846592	4.52E+00	6.44E-02	
1460	14.656622	77.973991	5.84E+00	8.32E-02	
1465	14.56392	78.077616	6.39E+00	9.09E-02	
1470	14.45758	78.183762	3.40E+00	4.84E-02	
1475	14.363959	78.250346	1.26E+01	1.80E-01	
1480	14.266919	78.374061	4.15E+00	5.91E-02	
1485	14.167824	78.46488	8.55E+00	1.22E-01	
1490	14.071289	78.571165	1.19E+01	1.70E-01	
1495	13.97779	78.65592	1.25E+01	1.77E-01	
1500	13.88305	78.782953	1.71E+01	2.43E-01	
1505	13.782638	78.881333	1.26E+01	1.79E-01	
1510	13.68306	78.960048	1.84E+01	2.63E-01	
1515	13.587447	79.061811	1.81E+01	2.58E-01	
1520	13.496703	79.142324	1.80E+01	2.57E-01	
1525	13.409813	79.241756	1.77E+01	2.51E-01	
1530	13.327182	79.304548	1.74E+01	2.48E-01	
1535	13.235728	79.433284	1.82E+01	2.59E-01	
1540	13.139594	79.509559	1.81E+01	2.57E-01	
1545	13.05628	79.592357	1.89E+01	2.69E-01	
1550	12.968991	79.68199	1.84E+01	2.62E-01	
1555	12.882714	79.780472	1.83E+01	2.60E-01	
1560	12.804274	79.875145	1.81E+01	2.58E-01	
1565	12.717194	79.943627	1.82E+01	2.60E-01	
1570	12.635549	80.05247	1.65E+01	2.35E-01	
1575	12.560271	80.115426	1.64E+01	2.33E-01	
1580	12.481966	80.195038	1.67E+01	2.38E-01	
1585	12.395355	80.258934	1.77E+01	2.51E-01	
1590	12.314911	80.323828	1.65E+01	2.35E-01	
1595	12.240522	80.407527	1.76E+01	2.51E-01	
1600	12.165072	80.45361	1.62E+01	2.31E-01	
1605	12.083711	80.492277	1.62E+01	2.30E-01	
1610	12.001358	80.606436	1.49E+01	2.11E-01	
1615	11.924926	80.69494	1.64E+01	2.34E-01	
1620	11.857043	80.761761	1.60E+01	2.28E-01	
