{ Units, Wavelength Units } SI Nanometers
{ Thickness } 1.000
{ Conductivity } 1.000
{ Emissivity, front back } Emis= 0.025 0.840
{ Type: Coated }
{ Coated Side: Front }

1930 0.0116 0.944 0.944
1935 0.0119 0.944 0.944
1940 0.0125 0.944 0.944
1945 0.0113 0.943 0.943
1950 0.0107 0.943 0.943
1955 0.0111 0.943 0.943
1960 0.011 0.943 0.943
1965 0.0106 0.943 0.943
1970 0.00999 0.943 0.943
1975 0.0106 0.943 0.943
1980 0.0107 0.943 0.943
1985 0.0109 0.943 0.943
1990 0.0121 0.944 0.944
1995 0.0117 0.944 0.944
2000 0.0123 0.944 0.944
2005 0.0132 0.945 0.945
2010 0.0132 0.945 0.945
2015 0.0141 0.945 0.945
2020 0.0146 0.945 0.945
2025 0.0153 0.946 0.946
2030 0.0165 0.945 0.945
2035 0.0153 0.945 0.945
2040 0.0168 0.945 0.945
2045 0.0181 0.946 0.946
2050 0.0178 0.945 0.945
2055 0.0187 0.945 0.945
2060 0.0189 0.946 0.946
2065 0.0197 0.946 0.946
2070 0.0232 0.946 0.946
2075 0.0192 0.946 0.946
2080 0.0208 0.945 0.945
2085 0.02 0.945 0.945
2090 0.0203 0.945 0.945
2095 0.0215 0.945 0.945
2100 0.0222 0.946 0.946
2105 0.0249 0.946 0.946
2110 0.0238 0.946 0.946
2115 0.0252 0.947 0.947
2120 0.0294 0.946 0.946
2125 0.0271 0.946 0.946
2130 0.0283 0.946 0.946
2135 0.0279 0.946 0.946
2140 0.0297 0.945 0.945
2145 0.0307 0.946 0.946
2150 0.0308 0.946 0.946
2155 0.027 0.946 0.946
2160 0.0309 0.946 0.946
2165 0.0266 0.947 0.947
2170 0.0259 0.947 0.947
2175 0.0306 0.946 0.946
2180 0.0273 0.946 0.946
2185 0.0325 0.945 0.945
2190 0.0352 0.948 0.948
2195 0.0331 0.948 0.948
2200 0.0384 0.946 0.946
2205 0.0351 0.946 0.946
2210 0.0452 0.948 0.948
2215 0.0424 0.945 0.945
2220 0.0431 0.947 0.947
2225 0.0445 0.947 0.947
2230 0.0324 0.947 0.947
2235 0.0394 0.946 0.946
2240 0.0467 0.947 0.947
2245 0.0271 0.947 0.947
2250 0.0219 0.947 0.947
2255 0.0232 0.948 0.948
2260 0.0191 0.949 0.949
2265 0.0224 0.948 0.948
2270 0.0242 0.949 0.949
2275 0.0238 0.948 0.948
2280 0.0242 0.95 0.95
2285 0.0244 0.949 0.949
2290 0.0238 0.947 0.947
2295 0.0256 0.949 0.949
2300 0.0241 0.948 0.948
2305 0.0312 0.95 0.95
2310 0.0266 0.948 0.948
2315 0.029 0.95 0.95
2320 0.0345 0.951 0.951
2325 0.0322 0.947 0.947
2330 0.0328 0.952 0.952
2335 0.0342 0.952 0.952
2340 0.0359 0.948 0.948
2345 0.0388 0.949 0.949
2350 0.0382 0.952 0.952
2355 0.0386 0.951 0.951
2360 0.0444 0.949 0.949
2365 0.038 0.952 0.952
2370 0.0428 0.95 0.95
2375 0.0441 0.952 0.952
2380 0.0447 0.949 0.949
2385 0.0464 0.947 0.947
2390 0.0466 0.946 0.946
2395 0.0101 0.95 0.95
2400 0.00856 0.949 0.949
2405 0.00812 0.949 0.949
2410 0.00792 0.946 0.946
2415 0.00973 0.95 0.95
2420 0.00831 0.95 0.95
2425 0.0102 0.95 0.95
2430 0.0106 0.95 0.95
2435 0.0105 0.949 0.949
2440 0.0132 0.953 0.953
2445 0.0116 0.949 0.949
2450 0.0143 0.95 0.95
2455 0.0148 0.944 0.944
2460 0.0158 0.954 0.954
2465 0.0205 0.947 0.947
2470 0.024 0.946 0.946
2475 0.022 0.952 0.952
2480 0.0263 0.947 0.947
2485 0.0223 0.95 0.95
2490 0.0298 0.952 0.952
2495 0.0462 0.953 0.953
2500 0.0481 0.956 0.956
