{ Units, Wavelength Units } SI Nanometers
{ Thickness } 1.000
{ Conductivity } 1.000
{ Emissivity, front back } Emis= 0.025 0.840
{ Type: Coated }
{ Coated Side: Front }

1985 0.15 0.764 0.764
1990 0.15 0.765 0.765
1995 0.149 0.766 0.766
2000 0.149 0.767 0.767
2005 0.149 0.767 0.767
2010 0.15 0.768 0.768
2015 0.149 0.768 0.768
2020 0.149 0.769 0.769
2025 0.148 0.77 0.77
2030 0.148 0.771 0.771
2035 0.148 0.771 0.771
2040 0.147 0.772 0.772
2045 0.148 0.772 0.772
2050 0.147 0.773 0.773
2055 0.147 0.774 0.774
2060 0.148 0.774 0.774
2065 0.146 0.775 0.775
2070 0.147 0.775 0.775
2075 0.148 0.776 0.776
2080 0.147 0.777 0.777
2085 0.149 0.777 0.777
2090 0.145 0.777 0.777
2095 0.147 0.777 0.777
2100 0.148 0.779 0.779
2105 0.145 0.779 0.779
2110 0.148 0.779 0.779
2115 0.149 0.78 0.78
2120 0.149 0.78 0.78
2125 0.149 0.781 0.781
2130 0.146 0.78 0.78
2135 0.147 0.782 0.782
2140 0.149 0.782 0.782
2145 0.15 0.782 0.782
2150 0.152 0.783 0.783
2155 0.146 0.785 0.785
2160 0.147 0.784 0.784
2165 0.15 0.784 0.784
2170 0.143 0.786 0.786
2175 0.144 0.786 0.786
2180 0.144 0.786 0.786
2185 0.145 0.787 0.787
2190 0.146 0.788 0.788
2195 0.143 0.788 0.788
2200 0.146 0.789 0.789
2205 0.146 0.788 0.788
2210 0.148 0.791 0.791
2215 0.15 0.789 0.789
2220 0.147 0.79 0.79
2225 0.148 0.791 0.791
2230 0.15 0.792 0.792
2235 0.145 0.792 0.792
2240 0.151 0.792 0.792
2245 0.135 0.794 0.794
2250 0.13 0.794 0.794
2255 0.13 0.795 0.795
2260 0.131 0.796 0.796
2265 0.129 0.795 0.795
2270 0.13 0.797 0.797
2275 0.128 0.795 0.795
2280 0.129 0.796 0.796
2285 0.131 0.798 0.798
2290 0.129 0.795 0.795
2295 0.131 0.799 0.799
2300 0.131 0.798 0.798
2305 0.129 0.799 0.799
2310 0.132 0.797 0.797
2315 0.13 0.8 0.8
2320 0.133 0.803 0.803
2325 0.132 0.799 0.799
2330 0.131 0.803 0.803
2335 0.133 0.803 0.803
2340 0.134 0.799 0.799
2345 0.132 0.804 0.804
2350 0.137 0.803 0.803
2355 0.13 0.801 0.801
2360 0.136 0.804 0.804
2365 0.137 0.806 0.806
2370 0.133 0.804 0.804
2375 0.139 0.805 0.805
2380 0.134 0.805 0.805
2385 0.138 0.802 0.802
2390 0.141 0.806 0.806
2395 0.107 0.803 0.803
2400 0.103 0.804 0.804
2405 0.104 0.806 0.806
2410 0.103 0.804 0.804
2415 0.103 0.806 0.806
2420 0.104 0.805 0.805
2425 0.102 0.808 0.808
2430 0.103 0.806 0.806
2435 0.103 0.81 0.81
2440 0.102 0.811 0.811
2445 0.105 0.807 0.807
2450 0.103 0.811 0.811
2455 0.106 0.806 0.806
2460 0.107 0.812 0.812
2465 0.104 0.809 0.809
2470 0.111 0.81 0.81
2475 0.107 0.811 0.811
2480 0.108 0.81 0.81
2485 0.117 0.811 0.811
2490 0.114 0.813 0.813
2495 0.132 0.814 0.814
2500 0.134 0.816 0.816
