SCC Double Stack - Ag 10nm - AlN 103.3nm - Ag 15.4nm - AlN 60nm			
	Reflectance	Transmittance	
2270	95.358577	0.316785	395
2275	95.319098	0.300731	396
2280	95.284148	0.291598	397
2285	95.169797	0.28064	398
2290	95.549712	0.282746	399
2295	95.90414	0.29398	400
2300	95.56189	0.281683	401
2305	95.655998	0.287228	402
2310	95.670091	0.276191	403
2315	95.475989	0.274625	404
2320	95.698205	0.282823	405
2325	95.642018	0.277923	406
2330	95.546412	0.272439	407
2335	95.422616	0.279004	408
2340	95.210213	0.27106	409
2345	95.615476	0.268273	410
2350	95.595147	0.272418	411
2355	95.525814	0.292707	412
2360	95.428501	0.276606	413
2365	95.42369	0.281872	414
2370	95.385522	0.261629	415
2375	95.326632	0.247555	416
2380	95.485135	0.268553	417
2385	95.815141	0.272863	418
2390	95.281632	0.266832	419
2395	95.742872	0.272091	420
2400	95.899686	0.252383	421
2405	95.523681	0.236599	422
2410	95.486207	0.228571	423
2415	95.703001	0.26087	424
2420	94.962664	0.247499	425
2425	95.452842	0.246293	426
2430	95.138782	0.262399	427
2435	95.771806	0.270813	428
2440	95.403619	0.263355	429
2445	95.844757	0.259581	430
2450	96.177656	0.254115	431
2455	95.587602	0.258606	432
2460	95.314749	0.24251	433
2465	95.671008	0.246655	434
2470	95.659734	0.240502	435
2475	95.483783	0.237871	436
2480	95.623177	0.245289	437
2485	95.540749	0.242747	438
2490	95.715133	0.256968	439
2495	95.818499	0.244189	440
2500	95.39119	0.229103	1
